City,Library,Address,Zip,Phone
Jacksonville,Bradham Brooks Northwest Regional Library,1755 Edgewood Avenue West,,(904) 765-5402
Jacksonville,Brentwood Branch,3725 Pearl Street,,(904) 630-0924
Jacksonville,Charles D. Webb-Wesconnett Regional Library,6887 103rd Street,,(904) 778-7305
Jacksonville,Dallas James Graham Library,2304 North Myrtle Avenue,,(904) 630-0922
Jacksonville,Highlands Regional Library,1826 Dunn Avenue,,(904) 757-7702
Jacksonville,Jacksonville Public Library,303 North Laura Street,32202,(904) 630-1994
Jacksonville,Mandarin Regional Library,3330 Kori Road,,(904) 262-5201
Jacksonville,Maxville Branch,8375 Maxville Blvd,,(904) 289-7563
Jacksonville,Murray Hill Library,918 Edgewood Avenue South,,(904) 384-2665
Jacksonville,Pablo Creek Regional Library,13295 Beach Blvd,,(904) 992-7101
Jacksonville,Raiford A. Brown Eastside Library,1390 Harrison Street,,(904) 630-5466
Jacksonville,Regency Square Regional Library,9900 Regency Square Blvd,,(904) 726-5142
Jacksonville,San Marco Library,1513 Lasalle St,,(904) 858-2907
Jacksonville,South Mandarin Regional Library,12125 San Jose Blvd,,(904) 288-6385
Jacksonville,Southeast Regional Library,10599 Deerwood Park Blvd,,(904) 996-0325
Jacksonville,Talking Books - Special Needs Library,303 North Laura St,,(904) 630-1999
Jacksonville,University Park Branch Library,3435 University Blvd N,,(904) 744-2265
Jacksonville,West Regional Library,1425 Chaffee Rd S,,(904) 693-1448
Jacksonville,Westbrook Library,2809 Commonwealth Avenue,,(904) 384-7424
Jacksonville,Willowbranch Library,2875 Park Street,,(904) 381-8490
Jasper,Jasper Public Library,311 Hatley Street Ne,,(904) 792-2285
Jay,Jay Library,5259 Brooker Lane,,(850) 675-6293
Jennings,Jennings Public Library,1322 Plum Street,,(904) 938-1143
Jensen Beach,Hoke Branch Library,1150 Nw Jack Williams Way,,(772) 463-2870
Jupiter,Jupiter Branch Library,705 Military Trail,,(561) 744-2301
Kenansville,Kenansville Library Center,1180 Canoe Creek Rd. South,,(407) 892-8117
Key Largo,Key Largo Branch,101485 Overseas Hwy,,(305) 451-2396
Key Largo,Monroe County Public Library System,700 Fleming Street,33040,(305) 292-3595
Keystone Heights,Keystone Heights Branch Library,,,(904) 473-4286
Kinard,Kinard Public Library,5416 S.W. State Road 73,,(850) 639-5125
Kissimmee,Buenaventura Lakes Library,405 Buenaventura Blvd,,(407) 348-8767
Kissimmee,Hart Memorial Library,211 E. Dakin Avenue,,(407) 935-0777
Kissimmee,Law Library,211 E. Dakin Ave,,(407) 935-0777
Kissimmee,Osceola County Library System,211 E. Dakin Avenue,34741,(407) 742-8888
Labelle,Labelle Free Public Library,461 North Main Street,,(941) 675-0833
Lady Lake,Lady Lake Public Library,225 West Guava Street,,(352) 753-2957
Lake Alfred,Lake Alfred Public Library,195 East Pomelo Street,,(863) 956-3434
Lake Butler,New River Public Library Cooperative,110 N. Lake Ave,32054,(386) 496-2526
Lake Butler,Union County Public Library,175 West Main Street,,(904) 496-3432
Lake City,Columbia County Public Library,308 Nw Columbia Avenue,32055,(386) 758-1018
Lake City,West Branch Library,435 N.W. Hall Of Fame Drive,,(386) 758-1321
Lake Helen,Lake Helen Public Library,221 North Euclid Ave,,(386) 228-1152
Lake Mary,Northwest Branch Library,580 Greenway Blvd,,(407) 321-2419
Lake Panasoffkee,"Panasoffkee Community Library, Inc",1500 Cr 459,,(352) 793-8608
Lake Park,Lake Park Public Library,529 Park Ave,33403,(561) 881-3330
Lake Placid,Lake Placid Memorial Library,205 West Interlake Boulevard,,(863) 699-3705
Lake Wales,Lake Wales Public Library,290 Cypress Garden Lane,,(863) 678-4004
Lake Worth,Lake Worth Public Library,15 North M Street,33460,(561) 533-7354
Lakeland,Lakeland Public Library,100 Lake Morton Drive,,(863) 499-8242
Lakeland,Larry R. Jackson Branch Library,1700 N Florida Ave,,(863) 499-8243
Land Olakes,Land Olakes Branch Library,2818 Collier Pkwy,,(813) 949-1214
Lantana,Lantana Public Library,205 West Ocean Avenue,33462,(561) 540-5740
Largo,Largo Public Library,351 East Bay Drive,,(727) 587-6715
Lauderdale Lakes,Lauderdale Lakes Branch,3521 Nw 43rd Avenue,,(954) 497-3627
Lauderhill,Lauderhill-City Hall Complex Branch,2000 City Hall Drive,,(954) 497-1630
Lauderhill,Lauderhill-Mall Branch,4257 Nw 12th Street,,(954) 791-1000
Laurel Hill,Gladys N. Milton Memorial Library,261 Flowersview Blvd,,(850) 834-5383
Lee,Lee Library,190 S.E. Cr 255,,(850) 971-5665
Leesburg,Leesburg Public Library,204 N Fifth St,,(352) 728-9790
Lehigh Acres,East County Regional Library,881 Gunnnery Road,33971,(239) 533-4200
Lighthouse Point,Doreen Gauthier Lighthouse Point Library,2200 N.E. 38th Street,33064,(954) 946-6398
Lighthouse Point,Lighthouse Point Library,2200 N.E. 38th Street,,(954) 946-6398
Live Oak,Suwannee River Regional Library System,1848 Ohio-M L King Avenue South,32064,(386) 362-2317
Longwood,West Branch Library,"245 Hunt Club Blvd., North",,(407) 862-2282
Lutz,Lutz Branch Library,101 West Lutz Lake Fern Rd,,(813) 264-3800
Lynn Haven,Lynn Haven Public Library,901 Ohio Avenue,32444,(850) 265-2781
Macclenny,Emily Taber Library,14 Mciver Avenue West,,(904) 259-6464
Madeira Beach,Gulf Beaches Public Library,200 Municipal Drive,,(727) 391-2828
Madison,Madison County Library,100 College Drive,,(850) 973-6814
Maitland,Maitland Public Library,501 South Maitland Avenue,32751,(407) 647-7700
Marathon,George Dolezal Branch,3251 Overseas Highway,,(305) 743-5156
Marco Island,Marco Island Branch Library,210 South Heathwood Dr,,(941) 394-3272
Margate,Margate Catharine Young Branch,5810 Park Drive,,(954) 968-3800
Marianna,Jackson County Public Library,2929 Green Street,,(850) 482-9631
Marianna,Panhandle Public Library Cooperative System,"2925 Optimist Drive, Suite A",32448,(850) 482-9296
Mary Esther,Mary Esther Public Library,"100 Hollywood, West",,(850) 243-5731
Mayo,Lafayette County Library,,,(904) 294-1021
Mayo,Three Rivers Regional Library System,262 W. Main St,32066,(386) 294-3856
Melbourne,Dr. Martin Luther King Jr. Library,995 East University Blvd,,(321) 952-4511
Melbourne,Eau Gallie Public Library,1521 Pineapple Avenue,,(321) 255-4304
Melbourne,Melbourne Public Library,540 East Fee Avenue,,(321) 952-4514
Melbourne,Suntree-Viera Public Library,"335 Pineda Court, Unit 335",,(321) 255-4405
Melbourne,West Melbourne Public Library,2755 Wingate Blvd,,(321) 952-4508
Melbourne Beach,Melbourne Beach Library,324 Ocean Avenue,,(321) 956-5642
Melrose,Melrose Public Library,312 Wynnwood Ave,32666,(904) 475-1237
Merritt Island,Merritt Island Public Library,1195 N. Courtenay Parkway,32953,(321) 455-1369
Miami,Allapattah Branch Library,1799 Nw 35th Street,33142,(305) 638-6086
Miami,Civic Center Station Branch Library,1501 N.W. 12th Ave,33136,(305) 324-0291
Miami,Coconut Grove Branch,2875 Mcfarlane Road,33133,(305) 442-8695
Miami,Concord Branch Library,3882 S.W. 112 Ave,33165,(305) 442-8695
Miami,Coral Reef Branch Library,9211 Coral Reef,33157,(305) 233-8325
Miami,Country Walk Branch Library,15433 S.W. 137th Ave,33177,(786) 293-4577
Miami,Culmer-Overtown Branch,350 Nw 13th Street,33136,(305) 579-5322
Miami,Dade County Talking Book Library,2455 N.W. 183rd St,33056,(305) 751-8687
Miami,Doral Early Childhood Library,9585 Nw 41st Street,33178,(305) 716-9598
Miami,Edison Center Branch Library,531 Nw 62nd Street,33150,(305) 757-8687
Miami,Fairlawn Branch Library,6869 Sw 8th Street,33144,(305) 261-1571
Miami,Grapeland Heights Branch,1400 Nw 37th Avenue,33125,(305) 638-5255
Miami,Hispanic Branch Library,2190 West Flagler St,33135,(305) 541-9444
Miami,Kendall Branch Library,9101 Sw 97th Ave,33176,(305) 279-0521
Miami,Key Biscayne Branch,299 Crandon Blvd,33149,(305) 361-6134
Miami,Lakes Of The Meadow Branch Library,4284 S.W. 152nd Ave,33185,(305) 222-2149
Miami,Lemon City Branch,430 Ne 61st Street,33137,(305) 757-0662
Miami,Little River Branch,160 Ne 79th Street,33138,(305) 751-8589
Miami,Miami-Dade Public Library System,101 West Flagler Street,33130,(305) 375-2665
Miami,Model City Branch,2211 Nw 54th Street,33142,(305) 638-6978
Naranja,Naranja Branch Library,14850 Sw 280 St,33032,(305) 242-7935
Miami,North Central Branch,9590 N.W. 27 Avenue,33147,(305) 693-4541
Miami,North Dade Regional,2455 Nw 183rd Street,33056,(305) 625-6424
Miami,Northeast Branch,2930 Aventura Blvd,33180,(305) 931-5512
Miami,Shenandoah Branch,2111 Sw 19th Street,33145,(305) 854-5286
Miami,South Dade Regional,10750 Sw 211 Street,33189,(305) 233-8140
Miami,Tamiami Branch Library,13250-52 S.W. Eighth St,33130,(305) 223-4758
Miami,West Dade Regional,9445 Coral Way,33165,(305) 553-1134
Miami,West Flagler Branch,5050 West Flagler St,33134,(305) 442-8710
Miami,West Kendall Regional,10201 Hammocks Blvd,33196,(305) 385-7135
Miami Beach,Miami Beach Regional Library,227 22nd St,33139,(305) 535-4219
Miami Beach,North Shore Branch,7501 Collins Ave,33141,(305) 864-5392
Miami Beach,South Shore Branch,225 Washington Ave,33139,(305) 535-4223
Miami Lakes,Miami Lakes-Palm Springs North,6699 Windmill Gate Road,33014,(305) 822-6521
Miami Shores,Brockway Memorial Library,10021 Northeast Second Avenue,33138,(305) 758-8107
Miami Springs,Miami Springs Branch,401 Westward Dr,33166,(305) 884-2575
Micanopy,Micanopy Branch Library,,,(352) 466-3122
Micco,South Mainland Public Library,7921 Ron Beatty Blvd,32976,(772) 664-4066
Middleburg,Middleburg Branch Library,2245 Aster St,,(904) 282-2495
Milton,Milton Library,5541 Alabama Street,,(850) 623-5565
Milton,Santa Rosa County Library System,"6568 Caroline St., Ste. 101",32570,(850) 623-2043
Mims,Mims-Scottmoor Public Library,3615 Lionel Road,,(321) 264-5080
Monticello,Jefferson County R. J. Bailar Public Library,260 N. Cherry St,,(850) 342-0205
Monticello,Wilderness Coast Public Libraries,1180 West Washington Street,32345,(850) 997-7400
Moore Haven,Glades County Public Library,,,(863) 946-0744
Mount Dora,W.T.Bland Public Library,1995 N Donnelly St,,(352) 735-7180
Mulberry,Dr. C.C. Pearce Municipal Library,103 E Canal Street,,(863) 425-3246
Naples,Collier County Public Library,2385 Orange Blossom Drive,34109,(239) 593-3511
Naples,East Naples Branch Library,8787 Tamiami Trail East,,(941) 775-5592
Naples,Estates Branch Library,"1266 Golden Gate Blvd., W",,(941) 455-8088
Naples,Golden Gate Branch Library,4898 Coronado Parkway,,(941) 455-1441
Naples,Naples Branch Library,650 Central Avenue,,(941) 261-8201
Naples,Vanderbilt Beach Branch Library,788 Vanderbilt Beach Road,,(941) 597-8444
Navarre,Navarre Library,8484 James M. Harrell Road,,(850) 936-6120
Neptune Beach,Beaches Regional Library,600 Third Street,,(904) 241-1141
New Port Richey,New Port Richey Public Library,5939 Main Street,34652,(727) 853-1279
New Port Richey,Regency Park Branch Library,9701 Little Road,,(727) 861-3049
New Smyrna Beach,New Smyrna Beach Brannon Memorial Library,105 South Riverside Dr,,(386) 424-2910
Newberry,Newberry Branch Library,110 S. Seaboard St,,(352) 472-2911
Niceville,Niceville Public Library,206 North Partin Dr,,(850) 729-4070
Niceville,Okaloosa County Public Library Cooperative,206 N. Partin Dr,32578,(850) 609-5102
North Fort Myers,North Fort Myers Public Library,2001 Tamiami Trail NE,33903,(239) 533-4320
North Fort Myers,Talking Books Library,13240 N Cleveland Ave,,(239) 995-2665
North Lauderdale,North Lauderdale Branch,6601 Boulevard Of Champions,,(954) 968-3840
North Miami,North Miami Public Library,835 Ne 132 Street,33161,(305) 891-5535
North Miami Beach,North Miami Beach Public Library,1601 Northeast 164 Street,33162,(305) 948-2970
North Palm Beach,North Palm Beach Public Library,303 Anchorage Drive,33408,(561) 841-3383
North Port,North Port Library,13800 South Tamiami Trail,,(941) 861-1300
Oak Hill,Oak Hill Public Library,125 E. Halifax Ave,,(396) 345-5510
Oakland Park,Oakland Park Library,1298 N.E. 37 Street,33334,(954) 630-4366
Ocala,Freedom Public Library,5870 S.W. 95th Street,,(352) 438-2580
Ocala,Marion County Public Library System,2720 East Silver Springs Blvd,34470,(352) 671-8551
Ocala,Marion Oaks Public Library,294 Marion Oaks Lane,,(352) 438-2570
Ocala,Ocala Public Library,2720 East Silver Springs Boulevard,,(352) 671-8551
Ocklawaha,Forest Public Library,777 South County Road 314 A,,(352) 438-2540
Odessa,Austin Davis Library,17808 Wayne Road,,(813) 264-3825
Okeechobee,Okeechobee County Library,206 Sw 16th Street,,(863) 763-3536
Oldsmar,Oldsmar Public Library,101 State St. W,,(727) 855-5940
Orange City,Orange City Dickinson Memorial Library,148 Albertus Way,,(386) 775-5270
Orange Park,Orange Park Branch Library,2054 Plainfield Avenue,,(904) 264-9764
