last_name,first_name,middle_name,suffix,full_name,birthday,gender,type,state,party
Leahy,Patrick,J.,,Patrick J. Leahy,1940-03-31,M,sen,VT,Democrat
Lee,Barbara,,,Barbara Lee,1946-07-16,F,rep,CA,Democrat
Lee,Mike,,,Mike Lee,1971-06-04,M,sen,UT,Republican
Lewis,John,R.,,John Lewis,1940-02-21,M,rep,GA,Democrat
Lipinski,Daniel,William,,Daniel Lipinski,1966-07-15,M,rep,IL,Democrat
Loebsack,David,,,David Loebsack,1952-12-23,M,rep,IA,Democrat
Lofgren,Zoe,,,Zoe Lofgren,1947-12-21,F,rep,CA,Democrat
Long,Billy,,,Billy Long,1955-08-11,M,rep,MO,Republican
Lowey,Nita,M.,,Nita M. Lowey,1937-07-05,F,rep,NY,Democrat
Lucas,Frank,D.,,Frank D. Lucas,1960-01-06,M,rep,OK,Republican
Luetkemeyer,Blaine,,,Blaine Luetkemeyer,1952-05-07,M,rep,MO,Republican
Luján,Ben,Ray,,Ben Ray Luján,1972-06-07,M,rep,NM,Democrat
Lynch,Stephen,F.,,Stephen F. Lynch,1955-03-31,M,rep,MA,Democrat
Maloney,Carolyn,B.,,Carolyn B. Maloney,1946-02-19,F,rep,NY,Democrat
Marchant,Kenny,Ewell,,Kenny Marchant,1951-02-23,M,rep,TX,Republican
Markey,Edward,J.,,Edward J. Markey,1946-07-11,M,sen,MA,Democrat
Matsui,Doris,O.,,Doris O. Matsui,1944-09-25,F,rep,CA,Democrat
McCarthy,Kevin,,,Kevin McCarthy,1965-01-26,M,rep,CA,Republican
McCaul,Michael,T.,,Michael T. McCaul,1962-01-14,M,rep,TX,Republican
McClintock,Tom,,,Tom McClintock,1956-07-10,M,rep,CA,Republican
McCollum,Betty,Louise,,Betty McCollum,1954-07-12,F,rep,MN,Democrat
McGovern,James,P.,,James P. McGovern,1959-11-20,M,rep,MA,Democrat
McHenry,Patrick,T.,,Patrick T. McHenry,1975-10-22,M,rep,NC,Republican
McKinley,David,B.,,David B. McKinley,1947-03-28,M,rep,WV,Republican
McMorris Rodgers,Cathy,,,Cathy McMorris Rodgers,1969-05-22,F,rep,WA,Republican
McNerney,Jerry,,,Jerry McNerney,1951-06-18,M,rep,CA,Democrat
Meeks,Gregory,W.,,Gregory W. Meeks,1953-09-25,M,rep,NY,Democrat
Moore,Gwen,,,Gwen Moore,1951-04-18,F,rep,WI,Democrat
Moran,Jerry,,,Jerry Moran,1954-05-29,M,sen,KS,Republican
Murkowski,Lisa,A.,,Lisa Murkowski,1957-05-22,F,sen,AK,Republican
Murphy,Christopher,S.,,Christopher Murphy,1973-08-03,M,sen,CT,Democrat
Murray,Patty,,,Patty Murray,1950-10-11,F,sen,WA,Democrat
Nadler,Jerrold,L.,,Jerrold Nadler,1947-06-13,M,rep,NY,Democrat
Napolitano,Grace,F.,,Grace F. Napolitano,1936-12-04,F,rep,CA,Democrat
Neal,Richard,E.,,Richard E. Neal,1949-02-14,M,rep,MA,Democrat
Norton,Eleanor,Holmes,,Eleanor Holmes Norton,1937-06-13,F,rep,DC,Democrat
Nunes,Devin,G.,,Devin Nunes,1973-10-01,M,rep,CA,Republican
Olson,Pete,,,Pete Olson,1962-12-09,M,rep,TX,Republican
Palazzo,Steven,M.,,Steven M. Palazzo,1970-02-21,M,rep,MS,Republican
Pallone,Frank,J.,Jr.,"Frank Pallone, Jr.",1951-10-30,M,rep,NJ,Democrat
Pascrell,Bill,J.,Jr.,"Bill Pascrell, Jr.",1937-01-25,M,rep,NJ,Democrat
Paul,Rand,,,Rand Paul,1963-01-07,M,sen,KY,Republican
Pelosi,Nancy,,,Nancy Pelosi,1940-03-26,F,rep,CA,Democrat
Perlmutter,Ed,,,Ed Perlmutter,1953-05-01,M,rep,CO,Democrat
Peters,Gary,C.,,Gary C. Peters,1958-12-01,M,sen,MI,Democrat
Peterson,Collin,Clark,,Collin C. Peterson,1944-06-29,M,rep,MN,Democrat
Pingree,Chellie,,,Chellie Pingree,1955-04-02,F,rep,ME,Democrat
Portman,Robert,J.,,Rob Portman,1955-12-19,M,sen,OH,Republican
Posey,Bill,,,Bill Posey,1947-12-18,M,rep,FL,Republican
Price,David,E.,,David E. Price,1940-08-17,M,rep,NC,Democrat
Quigley,Mike,,,Mike Quigley,1958-10-17,M,rep,IL,Democrat
Reed,Tom,W.,II,Tom Reed,1971-11-18,M,rep,NY,Republican
Richmond,Cedric,L.,,Cedric L. Richmond,1973-09-13,M,rep,LA,Democrat
Roby,Martha,,,Martha Roby,1976-07-27,F,rep,AL,Republican
Roe,David,P.,,David P. Roe,1945-07-21,M,rep,TN,Republican
Rogers,Harold,,,Harold Rogers,1937-12-31,M,rep,KY,Republican
Rogers,Mike,,,Mike Rogers,1958-07-16,M,rep,AL,Republican
Roybal-Allard,Lucille,,,Lucille Roybal-Allard,1941-06-12,F,rep,CA,Democrat
Rubio,Marco,,,Marco Rubio,1971-05-28,M,sen,FL,Republican
Ruppersberger,C.,A. Dutch,,C. A. Dutch Ruppersberger,1946-01-31,M,rep,MD,Democrat
Rush,Bobby,L.,,Bobby L. Rush,1946-11-23,M,rep,IL,Democrat
Ryan,Tim,J.,,Tim Ryan,1973-07-16,M,rep,OH,Democrat
Sablan,Gregorio,Kilili Camacho,,Gregorio Kilili Camacho Sablan,1955-01-19,M,rep,MP,Democrat
Sarbanes,John,P.,,John P. Sarbanes,1962-05-22,M,rep,MD,Democrat
Scalise,Steve,Joseph,,Steve Scalise,1965-10-06,M,rep,LA,Republican
Schakowsky,Janice,D.,,Janice D. Schakowsky,1944-05-26,F,rep,IL,Democrat
Schiff,Adam,B.,,Adam B. Schiff,1960-06-22,M,rep,CA,Democrat
Schrader,Kurt,,,Kurt Schrader,1951-10-19,M,rep,OR,Democrat
Schumer,Charles,E.,,Charles E. Schumer,1950-11-23,M,sen,NY,Democrat
Schweikert,David,,,David Schweikert,1962-03-03,M,rep,AZ,Republican
Scott,Austin,,,Austin Scott,1969-12-10,M,rep,GA,Republican
Scott,David,,,David Scott,1945-06-27,M,rep,GA,Democrat
Scott,Robert,C.,,"Robert C. ""Bobby"" Scott",1947-04-30,M,rep,VA,Democrat
Scott,Tim,,,Tim Scott,1965-09-19,M,sen,SC,Republican
Sensenbrenner,F.,James,Jr.,"F. James Sensenbrenner, Jr.",1943-06-14,M,rep,WI,Republican
Serrano,José,E.,,José E. Serrano,1943-10-24,M,rep,NY,Democrat
Sewell,Terri,A.,,Terri A. Sewell,1965-01-01,F,rep,AL,Democrat
Shelby,Richard,C.,,Richard C. Shelby,1934-05-06,M,sen,AL,Republican
Sherman,Brad,J.,,Brad Sherman,1954-10-24,M,rep,CA,Democrat
Shimkus,John,M.,,John Shimkus,1958-02-21,M,rep,IL,Republican
Simpson,Michael,K.,,Michael K. Simpson,1950-09-08,M,rep,ID,Republican
Sires,Albio,,,Albio Sires,1951-01-26,M,rep,NJ,Democrat
Smith,Adam,,,Adam Smith,1965-06-15,M,rep,WA,Democrat
Smith,Adrian,,,Adrian Smith,1970-12-19,M,rep,NE,Republican
Smith,Christopher,H.,,Christopher H. Smith,1953-03-04,M,rep,NJ,Republican
Speier,Jackie,,,Jackie Speier,1950-05-14,F,rep,CA,Democrat
Stivers,Steve,,,Steve Stivers,1965-03-24,M,rep,OH,Republican
Sánchez,Linda,T.,,Linda T. Sánchez,1969-01-28,F,rep,CA,Democrat
Thompson,Bennie,G.,,Bennie G. Thompson,1948-01-28,M,rep,MS,Democrat
Thompson,Mike,Michael,,Mike Thompson,1951-01-24,M,rep,CA,Democrat
Thompson,Glenn,,,Glenn Thompson,1959-07-27,M,rep,PA,Republican
Thornberry,Mac,M.,,Mac Thornberry,1958-07-15,M,rep,TX,Republican
Thune,John,,,John Thune,1961-01-07,M,sen,SD,Republican
Tipton,Scott,R.,,Scott R. Tipton,1956-11-09,M,rep,CO,Republican
Tonko,Paul,,,Paul Tonko,1949-06-18,M,rep,NY,Democrat
Toomey,Patrick,J.,,Patrick J. Toomey,1961-11-17,M,sen,PA,Republican
Turner,Michael,R.,,Michael R. Turner,1960-01-11,M,rep,OH,Republican
Upton,Fred,Stephen,,Fred Upton,1953-04-23,M,rep,MI,Republican
Van Hollen,Chris,,Jr.,Chris Van Hollen,1959-01-10,M,sen,MD,Democrat
Velázquez,Nydia,M.,,Nydia M. Velázquez,1953-03-28,F,rep,NY,Democrat
Visclosky,Peter,J.,,Peter J. Visclosky,1949-08-13,M,rep,IN,Democrat
Walberg,Tim,,,Tim Walberg,1951-04-12,M,rep,MI,Republican
Walden,Greg,P.,,Greg Walden,1957-01-10,M,rep,OR,Republican
Wasserman Schultz,Debbie,,,Debbie Wasserman Schultz,1966-09-27,F,rep,FL,Democrat
Waters,Maxine,,,Maxine Waters,1938-08-15,F,rep,CA,Democrat
Webster,Daniel,,,Daniel Webster,1949-04-27,M,rep,FL,Republican
Welch,Peter,,,Peter Welch,1947-05-02,M,rep,VT,Democrat
Wilson,Joe,G.,,Joe Wilson,1947-07-31,M,rep,SC,Republican
Wilson,Frederica,S.,,Frederica S. Wilson,1942-11-05,F,rep,FL,Democrat
Wittman,Robert,J.,,Robert J. Wittman,1959-02-03,M,rep,VA,Republican
Womack,Steve,,,Steve Womack,1957-02-18,M,rep,AR,Republican
Woodall,Rob,,,Rob Woodall,1970-02-11,M,rep,GA,Republican
Wyden,Ron,,,Ron Wyden,1949-05-03,M,sen,OR,Democrat
Yarmuth,John,A.,,John A. Yarmuth,1947-11-04,M,rep,KY,Democrat
Young,Don,E.,,Don Young,1933-06-09,M,rep,AK,Republican
Young,Todd,C.,,Todd Young,1972-08-24,M,sen,IN,Republican
Amodei,Mark,E.,,Mark E. Amodei,1958-06-12,M,rep,NV,Republican
Bonamici,Suzanne,,,Suzanne Bonamici,1954-10-14,F,rep,OR,Democrat
DelBene,Suzan,K.,,Suzan K. DelBene,1962-02-17,F,rep,WA,Democrat
Massie,Thomas,,,Thomas Massie,1971-01-13,M,rep,KY,Republican
Payne,Donald,M.,Jr.,"Donald M. Payne, Jr.",1958-12-17,M,rep,NJ,Democrat
Schatz,Brian,Emanuel,,Brian Schatz,1972-10-20,M,sen,HI,Democrat
Foster,Bill,,,Bill Foster,1955-10-07,M,rep,IL,Democrat
Titus,Dina,,,Dina Titus,1950-05-23,F,rep,NV,Democrat
Cotton,Tom,,,Tom Cotton,1977-05-13,M,sen,AR,Republican
Sinema,Kyrsten,,,Kyrsten Sinema,1976-07-12,F,sen,AZ,Democrat
LaMalfa,Doug,,,Doug LaMalfa,1960-07-02,M,rep,CA,Republican
Huffman,Jared,,,Jared Huffman,1964-02-18,M,rep,CA,Democrat
Bera,Ami,,,Ami Bera,1965-03-02,M,rep,CA,Democrat
Cook,Paul,,,Paul Cook,1943-03-03,M,rep,CA,Republican
Swalwell,Eric,,,Eric Swalwell,1980-11-16,M,rep,CA,Democrat
Brownley,Julia,,,Julia Brownley,1952-08-28,F,rep,CA,Democrat
Cárdenas,Tony,,,Tony Cárdenas,1963-03-31,M,rep,CA,Democrat
Ruiz,Raul,,,Raul Ruiz,1972-08-25,M,rep,CA,Democrat
Takano,Mark,,,Mark Takano,1960-12-10,M,rep,CA,Democrat
Lowenthal,Alan,S.,,Alan S. Lowenthal,1941-03-08,M,rep,CA,Democrat
Vargas,Juan,,,Juan Vargas,1961-03-07,M,rep,CA,Democrat
Peters,Scott,H.,,Scott H. Peters,1958-06-17,M,rep,CA,Democrat
Yoho,Ted,S.,,Ted S. Yoho,1955-04-13,M,rep,FL,Republican
Frankel,Lois,,,Lois Frankel,1948-05-16,F,rep,FL,Democrat
Collins,Doug,,,Doug Collins,1966-08-16,M,rep,GA,Republican
Gabbard,Tulsi,,,Tulsi Gabbard,1981-04-12,F,rep,HI,Democrat
Duckworth,Tammy,,,Tammy Duckworth,1968-03-12,F,sen,IL,Democrat
Davis,Rodney,,,Rodney Davis,1970-01-05,M,rep,IL,Republican
Bustos,Cheri,,,Cheri Bustos,1961-10-17,F,rep,IL,Democrat
Walorski,Jackie,,,Jackie Walorski,1963-08-17,F,rep,IN,Republican
Brooks,Susan,W.,,Susan W. Brooks,1960-08-25,F,rep,IN,Republican
Barr,Garland,,,Andy Barr,1973-07-24,M,rep,KY,Republican
Warren,Elizabeth,,,Elizabeth Warren,1949-06-22,F,sen,MA,Democrat
Kennedy,Joseph,P.,III,Joseph P. Kennedy III,1980-10-04,M,rep,MA,Democrat
King,Angus,,,"Angus S. King, Jr.",1944-03-31,M,sen,ME,Independent
Kildee,Daniel,T.,,Daniel T. Kildee,1958-08-11,M,rep,MI,Democrat
Wagner,Ann,,,Ann Wagner,1962-09-13,F,rep,MO,Republican
Daines,Steve,,,Steve Daines,1962-08-20,M,sen,MT,Republican
Hudson,Richard,,,Richard Hudson,1971-11-04,M,rep,NC,Republican
Meadows,Mark,,,Mark Meadows,1959-07-28,M,rep,NC,Republican
Holding,George,,,George Holding,1968-04-17,M,rep,NC,Republican
Cramer,Kevin,,,Kevin Cramer,1961-01-21,M,sen,ND,Republican
Fischer,Deb,,,Deb Fischer,1951-03-01,F,sen,NE,Republican
Kuster,Ann,M.,,Ann M. Kuster,1956-09-05,F,rep,NH,Democrat
Meng,Grace,,,Grace Meng,1975-10-01,F,rep,NY,Democrat
Jeffries,Hakeem,S.,,Hakeem S. Jeffries,1970-08-04,M,rep,NY,Democrat
Maloney,Sean,Patrick,,Sean Patrick Maloney,1966-07-30,M,rep,NY,Democrat
Collins,Chris,,,Chris Collins,1950-05-20,M,rep,NY,Republican
Wenstrup,Brad,R.,,Brad R. Wenstrup,1958-06-17,M,rep,OH,Republican
Beatty,Joyce,,,Joyce Beatty,1950-03-12,F,rep,OH,Democrat
Joyce,David,P.,,David P. Joyce,1957-03-17,M,rep,OH,Republican
Mullin,Markwayne,,,Markwayne Mullin,1977-07-26,M,rep,OK,Republican
Perry,Scott,,,Scott Perry,1962-05-27,M,rep,PA,Republican
Cartwright,Matthew,A.,,Matt Cartwright,1961-05-01,M,rep,PA,Democrat
Rice,Tom,,,Tom Rice,1957-08-04,M,rep,SC,Republican
Cruz,Ted,,,Ted Cruz,1970-12-22,M,sen,TX,Republican
Weber,Randy,K.,,"Randy K. Weber, Sr.",1953-07-02,M,rep,TX,Republican
Castro,Joaquin,,,Joaquin Castro,1974-09-16,M,rep,TX,Democrat
Williams,Roger,,,Roger Williams,1949-09-13,M,rep,TX,Republican
Veasey,Marc,A.,,Marc A. Veasey,1971-01-03,M,rep,TX,Democrat
Vela,Filemon,,,Filemon Vela,1963-02-13,M,rep,TX,Democrat
Stewart,Chris,,,Chris Stewart,1960-07-15,M,rep,UT,Republican
Kaine,Timothy,,,Tim Kaine,1958-02-26,M,sen,VA,Democrat
Kilmer,Derek,,,Derek Kilmer,1974-01-01,M,rep,WA,Democrat
Heck,Denny,,,Denny Heck,1952-07-29,M,rep,WA,Democrat
Pocan,Mark,,,Mark Pocan,1964-08-14,M,rep,WI,Democrat
Kelly,Robin,,,Robin L. Kelly,1956-04-30,F,rep,IL,Democrat
Smith,Jason,T.,,Jason Smith,1980-06-16,M,rep,MO,Republican
Booker,Cory,Anthony,,Cory A. Booker,1969-04-27,M,sen,NJ,Democrat
Clark,Katherine,M.,,Katherine M. Clark,1963-07-17,F,rep,MA,Democrat
Byrne,Bradley,,,Bradley Byrne,1955-02-16,M,rep,AL,Republican
Norcross,Donald,W.,,Donald Norcross,1958-12-13,M,rep,NJ,Democrat
Adams,Alma,,,Alma S. Adams,1946-05-27,F,rep,NC,Democrat
Palmer,Gary,,,Gary J. Palmer,1954-05-14,M,rep,AL,Republican
Hill,French,,,J. French Hill,1956-12-05,M,rep,AR,Republican
Westerman,Bruce,,,Bruce Westerman,1967-11-18,M,rep,AR,Republican
Gallego,Ruben,,,Ruben Gallego,1979-11-20,M,rep,AZ,Democrat
DeSaulnier,Mark,,,Mark DeSaulnier,1952-03-31,M,rep,CA,Democrat
Aguilar,Pete,,,Pete Aguilar,1979-06-19,M,rep,CA,Democrat
Lieu,Ted,,,Ted Lieu,1969-03-29,M,rep,CA,Democrat
Torres,Norma,,,Norma J. Torres,1965-04-04,F,rep,CA,Democrat
